country_code,country_name,region,income_level,capital,latitude,longitude
MDV,Maldives,South Asia,Upper middle income,Male,4.1742,73.5109
MEX,Mexico,Latin America & Caribbean ,Upper middle income,Mexico City,19.427,-99.1276
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Majuro,7.11046,171.135
MKD,North Macedonia,Europe & Central Asia,Upper middle income,Skopje,42.0024,21.4361
MLI,Mali,Sub-Saharan Africa ,Low income,Bamako,13.5667,-7.50034
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Valletta,35.9042,14.5189
MMR,Myanmar,East Asia & Pacific,Lower middle income,Naypyidaw,21.914,95.9562
MNE,Montenegro,Europe & Central Asia,Upper middle income,Podgorica,42.4602,19.2595
MNG,Mongolia,East Asia & Pacific,Upper middle income,Ulaanbaatar,47.9129,106.937
MNP,Northern Mariana Islands,East Asia & Pacific,High income,Saipan,15.1935,145.765
MOZ,Mozambique,Sub-Saharan Africa ,Low income,Maputo,-25.9664,32.5713
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,Nouakchott,18.2367,-15.9824
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,Port Louis,-20.1605,57.4977
MWI,Malawi,Sub-Saharan Africa ,Low income,Lilongwe,-13.9899,33.7703
MYS,Malaysia,East Asia & Pacific,Upper middle income,Kuala Lumpur,3.12433,101.684
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,Windhoek,-22.5648,17.0931
NCL,New Caledonia,East Asia & Pacific,High income,Noum'ea,-22.2677,166.464
NER,Niger,Sub-Saharan Africa ,Low income,Niamey,13.514,2.1073
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Abuja,9.05804,7.48906
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,Managua,12.1475,-86.2734
NLD,Netherlands,Europe & Central Asia,High income,Amsterdam,52.3738,4.89095
NOR,Norway,Europe & Central Asia,High income,Oslo,59.9138,10.7387
NPL,Nepal,South Asia,Lower middle income,Kathmandu,27.6939,85.3157
NRU,Nauru,East Asia & Pacific,High income,Yaren District,-0.5477,166.920867
NZL,New Zealand,East Asia & Pacific,High income,Wellington,-41.2865,174.776
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Muscat,23.6105,58.5874
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Islamabad,30.5167,72.8
PAN,Panama,Latin America & Caribbean ,High income,Panama City,8.99427,-79.5188
PER,Peru,Latin America & Caribbean ,Upper middle income,Lima,-12.0931,-77.0465
PHL,Philippines,East Asia & Pacific,Lower middle income,Manila,14.5515,121.035
PLW,Palau,East Asia & Pacific,High income,Koror,7.34194,134.479
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Port Moresby,-9.47357,147.194
POL,Poland,Europe & Central Asia,High income,Warsaw,52.26,21.02
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,San Juan,18.23,-66
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,Pyongyang,39.0319,125.754
PRT,Portugal,Europe & Central Asia,High income,Lisbon,38.7072,-9.13552
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,Asuncion,-25.3005,-57.6362
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,
PYF,French Polynesia,East Asia & Pacific,High income,Papeete,-17.535,-149.57
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,Doha,25.2948,51.5082
ROU,Romania,Europe & Central Asia,High income,Bucharest,44.4479,26.0979
RUS,Russian Federation,Europe & Central Asia,High income,Moscow,55.7558,37.6176
RWA,Rwanda,Sub-Saharan Africa ,Low income,Kigali,-1.95325,30.0587
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,Riyadh,24.6748,46.6977
SDN,Sudan,Sub-Saharan Africa ,Low income,Khartoum,15.5932,32.5363
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,Dakar,14.7247,-17.4734
SGP,Singapore,East Asia & Pacific,High income,Singapore,1.28941,103.85
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,Honiara,-9.42676,159.949
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,Freetown,8.4821,-13.2134
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,San Salvador,13.7034,-89.2073
SMR,San Marino,Europe & Central Asia,High income,San Marino,43.9322,12.4486
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,Mogadishu,2.07515,45.3254
SRB,Serbia,Europe & Central Asia,Upper middle income,Belgrade,44.8024,20.4656
SSD,South Sudan,Sub-Saharan Africa ,Low income,Juba,4.85,31.6
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,Sao Tome,0.20618,6.6071
SUR,Suriname,Latin America & Caribbean ,Upper middle income,Paramaribo,5.8232,-55.1679
SVK,Slovak Republic,Europe & Central Asia,High income,Bratislava,48.1484,17.1073
SVN,Slovenia,Europe & Central Asia,High income,Ljubljana,46.0546,14.5044
SWE,Sweden,Europe & Central Asia,High income,Stockholm,59.3327,18.0645
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,Mbabane,-26.5225,31.4659
