country_code,year,gdp_growth
AFE,2024,2.76383869054277
AFE,2023,1.9311603523693
AFE,2022,3.72271692296214
AFE,2021,4.57877206871177
AFE,2020,-2.81757208724623
AFE,2019,2.03007686221603
AFE,2018,2.70519413363353
AFE,2017,2.67752389715308
AFE,2016,2.13011703002091
AFE,2015,2.93402965863687
AFW,2024,4.5856736208091
AFW,2023,3.66242752919044
AFW,2022,4.47279468511532
AFW,2021,2.54969083217036
AFW,2020,-3.73062984236253
AFW,2019,3.28168276850104
AFW,2018,2.90466430784954
AFW,2017,2.29634886599959
AFW,2016,0.194316483405615
AFW,2015,2.93286367242145
ARB,2024,1.70353102787844
ARB,2023,1.63495022269882
ARB,2022,7.00775934349392
ARB,2021,4.43160883511413
ARB,2020,-5.30102786914752
ARB,2019,1.74778112240244
ARB,2018,2.67255324455269
ARB,2017,1.32901000226768
ARB,2016,3.57286827951262
ARB,2015,3.35080366726505
CSS,2024,13.3129250895082
CSS,2023,8.83833676011841
CSS,2022,14.8851030062619
CSS,2021,6.53181248270917
CSS,2020,-9.0291630332097
CSS,2019,0.875117819991502
CSS,2018,1.21087866602529
CSS,2017,-0.745458058997372
CSS,2016,-3.08019901728429
CSS,2015,-0.100918343775831
CEB,2024,2.0701601704917
CEB,2023,0.70736329484285
CEB,2022,4.04227221314891
CEB,2021,6.57225386036488
CEB,2020,-3.30111999071748
CEB,2019,4.03229063844108
CEB,2018,4.95337799401428
CEB,2017,5.1071317914476
CEB,2016,2.80726176295552
CEB,2015,4.00166179134685
EAR,2024,3.66894359356225
EAR,2023,4.59507205032629
EAR,2022,6.02119005770159
EAR,2021,7.50999857340686
EAR,2020,-4.30295004163716
EAR,2019,2.26986665615696
EAR,2018,3.60797948282917
EAR,2017,4.4871113513677
EAR,2016,4.13628805469052
EAR,2015,4.24282022448064
EAS,2024,3.79010550023051
EAS,2023,4.20566738267351
EAS,2022,2.9996184966993
EAS,2021,6.34482611371077
EAS,2020,-0.0574924656287692
EAS,2019,4.04297018230737
EAS,2018,4.79489718189352
EAS,2017,5.0621276153982
EAS,2016,4.65562872024383
EAS,2015,4.7187640804806
EAP,2024,4.96144388249684
EAP,2023,5.25527986417276
EAP,2022,3.54811147025219
EAP,2021,7.71979646853708
EAP,2020,1.34522560098827
EAP,2019,5.88586101772282
EAP,2018,6.53713724894706
EAP,2017,6.66672230599954
EAP,2016,6.51009063718404
EAP,2015,6.6614246586106
TEA,2024,4.96151507087529
TEA,2023,5.25522126120326
TEA,2022,3.54808390633295
TEA,2021,7.71948799394286
TEA,2020,1.34509522212088
TEA,2019,5.88576805304417
TEA,2018,6.53695468640676
TEA,2017,6.66644763513351
TEA,2016,6.50996577419185
TEA,2015,6.66143007471555
EMU,2024,0.911910157337687
EMU,2023,0.473405522226571
EMU,2022,3.6592192433758
EMU,2021,6.43713755486188
EMU,2020,-6.05674425052126
EMU,2019,1.62263181033828
EMU,2018,1.77991130879937
EMU,2017,2.62262590499378
EMU,2016,1.80158112775391
EMU,2015,2.14365367393994
ECS,2024,1.56624845618092
ECS,2023,1.0463748073376
ECS,2022,3.39087777130349
ECS,2021,6.79965905280595
ECS,2020,-5.38089471565053
ECS,2019,1.82337861520314
ECS,2018,2.15902408385477
ECS,2017,2.9545404517369
ECS,2016,1.90557078805695
ECS,2015,2.07593452180194
ECA,2024,3.98239471295983
ECA,2023,5.03672042034297
ECA,2022,3.07901753477167
ECA,2021,9.28042104515383
ECA,2020,0.276088024593619
ECA,2019,2.5819078238094
ECA,2018,3.7617712262191
ECA,2017,6.0030089975849
ECA,2016,2.78383354652402
ECA,2015,3.41612672689462
TEC,2024,3.80534822218806
TEC,2023,3.82595823256764
TEC,2022,1.95197902081506
TEC,2021,7.5909039335849
TEC,2020,-1.45793346533829
TEC,2019,2.81601440145778
TEC,2018,3.80424428454795
TEC,2017,4.37116063202008
TEC,2016,1.86129267860605
TEC,2015,1.42626319605841
EUU,2024,1.06455789818658
EUU,2023,0.454322708045169
EUU,2022,3.56155233245134
EUU,2021,6.37775013900981
EUU,2020,-5.57888055659984
EUU,2019,1.87524696216217
EUU,2018,2.04642012743825
EUU,2017,2.81811045546294
EUU,2016,1.91998029828646
EUU,2015,2.37195304560174
FCS,2024,2.00694502217955
FCS,2023,2.14545491630651
FCS,2022,1.62071663646515
FCS,2021,1.53090680703163
FCS,2020,-7.41318835322815
FCS,2019,0.815291636433273
FCS,2018,1.45548612659789
FCS,2017,1.30184507279765
FCS,2016,0.474197451324514
FCS,2015,0.167306320259854
HPC,2024,5.14470675657981
HPC,2023,3.46266952839525
HPC,2022,4.87387497765388
HPC,2021,4.3943156092006
HPC,2020,-0.0187133746473904
HPC,2019,4.20482798138602
HPC,2018,4.19381222105785
HPC,2017,5.0460102323685
HPC,2016,4.32522802984808
HPC,2015,4.90684629199932
IBD,2024,4.35176424289571
IBD,2023,4.81760583401356
IBD,2022,3.77001425774095
IBD,2021,7.62576674177033
IBD,2020,-1.2820422988441
IBD,2019,3.99080401565344
IBD,2018,4.86060185522661
IBD,2017,5.16244544363352
IBD,2016,4.44236398168836
IBD,2015,4.31724520804923
IBT,2024,4.34846625464446
IBT,2023,4.68849828972198
IBT,2022,3.82613307769597
IBT,2021,7.35278447207351
IBT,2020,-1.32167856256848
IBT,2019,3.98606377777533
IBT,2018,4.82305890086465
IBT,2017,5.07269308321443
IBT,2016,4.34774011294105
IBT,2015,4.2485578828191
IDB,2024,4.05581991807422
IDB,2023,2.82562013423187
IDB,2022,4.79819828416285
IDB,2021,4.29411724945791
IDB,2020,-3.29396031642257
IDB,2019,3.02295777419029
IDB,2018,3.86333443843708
IDB,2017,2.77873930269396
IDB,2016,2.26871058517055
IDB,2015,3.83520190776083
IDX,2024,4.54306460750762
IDX,2023,3.25506752972092
IDX,2022,4.30600397002799
IDX,2021,3.66758077651031
IDX,2020,-0.368060971666011
IDX,2019,4.82215447558036
IDX,2018,4.86177080819164
IDX,2017,5.21800165910943
IDX,2016,4.19959381491357
IDX,2015,3.01768618246332
IDA,2024,4.30577432199132
IDA,2023,3.04547759770905
IDA,2022,4.54563835706816
IDA,2021,3.97167918662413
IDA,2020,-1.8099801648997
IDA,2019,3.92770153634206
IDA,2018,4.36301999279465
IDA,2017,3.98520904781638
IDA,2016,3.2147069999364
IDA,2015,3.43306198935964
LTE,2024,4.48755005392181
LTE,2023,4.42804951199685
LTE,2022,3.28700376545592
LTE,2021,7.59265524240509
LTE,2020,0.23606472189222
LTE,2019,4.74705579855315
LTE,2018,5.43978541970205
LTE,2017,5.26220866778336
LTE,2016,4.45093232964513
LTE,2015,4.70788934981915
LCN,2024,2.25365117533336
LCN,2023,2.2495421023623
LCN,2022,4.08489707535256
LCN,2021,7.06404255272612
LCN,2020,-6.86063404728556
LCN,2019,0.312079320235867
LCN,2018,1.21791319664719
LCN,2017,1.55329227272067
LCN,2016,-0.729799173418968
LCN,2015,0.238232860625814
LAC,2024,1.97324501012739
LAC,2023,2.16624377428548
LAC,2022,3.94705326197962
LAC,2021,6.90270247216083
LAC,2020,-6.54995286111402
LAC,2019,0.597515256905496
LAC,2018,1.54415671756763
LAC,2017,1.98152090808898
LAC,2016,-0.536114860487686
LAC,2015,0.252853446703966
TLA,2024,2.27814705092769
TLA,2023,2.32602977369942
TLA,2022,4.11782588294029
TLA,2021,7.26349029603928
TLA,2020,-6.78294271787128
TLA,2019,0.28965539868031
TLA,2018,1.30250308015485
TLA,2017,1.62111189870491
TLA,2016,-0.74776428360714
TLA,2015,0.187808812059515
LDC,2024,3.85645809654658
LDC,2023,3.02879949936965
LDC,2022,4.75099901471464
LDC,2021,2.8680415794319
LDC,2020,-0.084161466625801
LDC,2019,4.91325561043519
LDC,2018,4.65941908831795
LDC,2017,4.4987096336715
LDC,2016,3.65690967534613
LDC,2015,2.75062771857759
LMY,2024,4.36075037491025
LMY,2023,4.8226754547823
LMY,2022,3.99985001578578
LMY,2021,7.38651702793516
LMY,2020,-1.12138803182505
LMY,2019,4.15795444216964
LMY,2018,4.99253371729228
LMY,2017,5.33414452329365
LMY,2016,4.73589340027773
LMY,2015,4.69423819182255
MEA,2024,2.11232485351741
MEA,2023,2.25920706136691
MEA,2022,6.4465289217368
MEA,2021,5.03631361698847
MEA,2020,-3.58499748950123
MEA,2019,1.59137160696825
MEA,2018,2.3999522914998
MEA,2017,2.07651843299037
MEA,2016,4.49846676594123
MEA,2015,2.77016552351637
MNA,2024,2.22259348944316
MNA,2023,2.85265290265325
