country_code,year,literacy_rate
AFE,2024,73.6951293945312
AFE,2023,73.3681411743164
AFE,2022,73.0559768676758
AFE,2021,72.7159729003906
AFE,2020,72.9768905639648
AFE,2019,72.8010787963867
AFE,2018,71.6701889038086
AFE,2017,70.8797302246094
AFE,2016,70.9572677612305
AFW,2024,61.1739692687988
AFW,2023,61.0263595581055
AFW,2022,60.7809791564941
AFW,2021,60.5108909606934
AFW,2020,60.2528114318848
AFW,2019,60.1363906860352
AFW,2018,60.3549499511719
AFW,2017,56.8785209655762
AFW,2016,55.8716201782227
ARB,2024,78.9864273071289
ARB,2023,78.616569519043
ARB,2022,78.2719268798828
ARB,2021,77.8672409057617
ARB,2020,77.5577621459961
ARB,2019,77.149772644043
ARB,2018,76.9097137451172
ARB,2017,76.5930099487305
ARB,2016,75.9190979003906
CEB,2024,99.5003890991211
CEB,2023,99.4918212890625
CEB,2022,99.4799194335938
CEB,2021,99.4680099487305
CEB,2020,99.452751159668
CEB,2019,99.4357528686523
CEB,2018,99.4153518676758
CEB,2017,99.3676605224609
CEB,2016,99.3470001220703
EAR,2024,82.0969390869141
EAR,2023,81.6767883300781
EAR,2022,81.2427978515625
EAR,2021,80.7130966186523
EAR,2020,80.3006210327148
EAR,2019,79.7876586914062
EAR,2018,79.6844329833984
EAR,2017,79.3345489501953
EAR,2016,79.0816879272461
EAS,2024,96.6137084960938
EAS,2023,96.4882202148438
EAS,2022,96.3631210327148
EAS,2021,96.2234420776367
EAS,2020,96.0861206054688
EAS,2019,95.8726425170898
EAS,2018,95.729736328125
EAS,2017,95.6873626708984
EAS,2016,95.4995803833008
EAP,2024,96.8457412719727
EAP,2023,96.719482421875
EAP,2022,96.5920104980469
EAP,2021,96.4505920410156
EAP,2020,96.3145980834961
EAP,2019,96.0973815917969
EAP,2018,95.9548416137695
EAP,2017,95.9314804077148
EAP,2016,95.7421722412109
TEA,2024,96.8063125610352
TEA,2023,96.678352355957
TEA,2022,96.5491409301758
TEA,2021,96.4058380126953
TEA,2020,96.2679672241211
TEA,2019,96.0478897094727
TEA,2018,95.9034729003906
TEA,2017,95.879768371582
TEA,2016,95.6880264282227
ECS,2023,98.7675628662109
ECS,2022,98.7496566772461
ECS,2021,98.7386932373047
ECS,2020,98.6057281494141
ECS,2019,98.5681076049805
ECS,2018,98.5019073486328
ECS,2017,98.4128494262695
ECS,2016,98.3339462280273
ECA,2024,99.0158462524414
ECA,2023,98.9629821777344
ECA,2022,98.9060592651367
ECA,2021,98.872200012207
ECA,2020,98.8268203735352
ECA,2019,98.7980194091797
ECA,2018,98.6577835083008
ECA,2017,98.5916519165039
ECA,2016,98.4758911132812
TEC,2024,99.3873519897461
TEC,2023,99.3587036132812
TEC,2022,99.3284683227539
TEC,2021,99.3108062744141
TEC,2020,99.2865295410156
TEC,2019,99.2695465087891
TEC,2018,99.1963119506836
TEC,2017,99.088493347168
TEC,2016,99.0277481079102
FCS,2024,67.578010559082
FCS,2023,67.4712677001953
FCS,2022,67.3155517578125
FCS,2021,67.1866683959961
FCS,2020,67.1063995361328
FCS,2019,67.2147674560547
FCS,2018,67.4211502075195
FCS,2017,67.6090316772461
FCS,2016,66.9035263061523
HPC,2024,66.6336364746094
HPC,2023,66.2968826293945
HPC,2022,65.8665466308594
HPC,2021,65.4221801757812
HPC,2020,64.9592514038086
HPC,2019,64.711311340332
HPC,2018,64.5372924804688
HPC,2017,62.5792503356934
HPC,2016,61.4616203308105
IBD,2024,90.6948623657227
IBD,2023,90.4358825683594
IBD,2022,90.1709823608398
IBD,2021,89.8589096069336
IBD,2020,89.6384582519531
IBD,2019,89.3428497314453
IBD,2018,89.2863998413086
IBD,2017,89.0595092773438
IBD,2016,88.8677368164062
IBT,2024,85.8209686279297
IBT,2023,85.60888671875
IBT,2022,85.3785705566406
IBT,2021,85.0993804931641
IBT,2020,84.886962890625
IBT,2019,84.6522598266602
IBT,2018,84.6161499023438
IBT,2017,84.2530364990234
IBT,2016,84.027458190918
IDB,2024,69.1912078857422
IDB,2023,68.8631820678711
IDB,2022,68.5359191894531
IDB,2021,68.2061920166016
IDB,2020,67.8718109130859
IDB,2019,67.5158996582031
IDB,2018,67.4336471557617
IDB,2017,65.0588836669922
IDB,2016,64.8518371582031
IDX,2024,70.9236297607422
IDX,2023,70.6173782348633
IDX,2022,70.242057800293
IDX,2021,69.7954864501953
IDX,2020,69.3044128417969
IDX,2019,69.0902481079102
IDX,2018,68.8277282714844
IDX,2017,67.4069290161133
IDX,2016,66.6103897094727
IDA,2024,70.0536499023438
IDA,2023,69.7270431518555
IDA,2022,69.3554229736328
IDA,2021,68.9362411499023
IDA,2020,68.484977722168
IDA,2019,68.2113571166992
IDA,2018,67.9991912841797
IDA,2017,66.9097518920898
IDA,2016,66.3155670166016
LTE,2024,96.8526611328125
LTE,2023,96.7300872802734
LTE,2022,96.6117477416992
LTE,2021,96.4845962524414
LTE,2020,96.3584594726562
LTE,2019,96.2307510375977
LTE,2018,96.1009979248047
LTE,2017,95.9536895751953
LTE,2016,95.7904510498047
LCN,2024,94.9511108398438
LCN,2023,94.8254928588867
LCN,2022,94.6840972900391
LCN,2021,94.5019378662109
LCN,2020,94.3258209228516
LCN,2019,94.2708282470703
LCN,2018,94.10302734375
LCN,2017,93.9181289672852
LCN,2016,93.8910827636719
LAC,2024,94.7141189575195
LAC,2023,94.5834732055664
LAC,2022,94.4349365234375
LAC,2021,94.2406768798828
LAC,2020,94.0513763427734
LAC,2019,93.9928588867188
LAC,2018,93.8078765869141
LAC,2017,93.6074523925781
LAC,2016,93.5648193359375
TLA,2024,94.8772430419922
TLA,2023,94.7478790283203
TLA,2022,94.6017074584961
TLA,2021,94.413200378418
TLA,2020,94.2312622070312
TLA,2019,94.1735000610352
TLA,2018,93.9998168945312
TLA,2017,93.808967590332
TLA,2016,93.7799682617188
LDC,2024,68.3231201171875
LDC,2023,67.9737167358398
LDC,2022,67.5506820678711
LDC,2021,67.0295181274414
LDC,2020,66.4538269042969
LDC,2019,66.2221832275391
LDC,2018,65.9546737670898
LDC,2017,65.4944686889648
LDC,2016,64.6036071777344
LMY,2024,85.6694183349609
LMY,2023,85.4538269042969
LMY,2022,85.2197799682617
LMY,2021,84.9348678588867
LMY,2020,84.7153930664062
LMY,2019,84.4747085571289
LMY,2018,84.4342727661133
LMY,2017,84.0636520385742
LMY,2016,83.8311004638672
MEA,2024,75.5886917114258
MEA,2023,75.0680389404297
MEA,2022,74.5160675048828
MEA,2021,73.9247970581055
MEA,2020,73.4514389038086
MEA,2019,72.9030990600586
MEA,2018,72.6647720336914
MEA,2017,72.7193603515625
MEA,2016,72.3536224365234
MIC,2024,87.7973403930664
MIC,2023,87.5513916015625
MIC,2022,87.2956771850586
MIC,2021,86.9866333007812
MIC,2020,86.7465209960938
MIC,2019,86.4565277099609
MIC,2018,86.3734893798828
MIC,2017,85.962043762207
MIC,2016,85.7613983154297
NAC,2022,98.7891464233398
NAC,2021,98.789436340332
NAC,2020,98.7703628540039
NAC,2019,98.7648391723633
NAC,2018,98.7590789794922
NAC,2017,98.7524108886719
OED,2020,97.2060775756836
OSS,2024,87.119743347168
OSS,2023,87.0094375610352
OSS,2022,86.8639526367188
OSS,2021,86.7250671386719
OSS,2020,86.5541915893555
OSS,2019,86.7132797241211
OSS,2018,86.4989013671875
OSS,2017,86.230598449707
OSS,2016,85.8724136352539
PRE,2024,67.723030090332
PRE,2023,67.3943176269531
PRE,2022,66.9874496459961
PRE,2021,66.5542602539062
PRE,2020,66.1589431762695
PRE,2019,65.9298400878906
PRE,2018,65.7887115478516
PRE,2017,63.8377990722656
PRE,2016,62.6788902282715
SST,2024,88.0155715942383
SST,2023,87.9334716796875
SST,2022,87.8255615234375
SST,2021,87.7147598266602
SST,2020,87.5831985473633
SST,2019,87.7075576782227
SST,2018,87.5271835327148
SST,2017,87.3291778564453
SST,2016,87.0658416748047
SAS,2024,78.2312698364258
SAS,2023,77.5703735351562
SAS,2022,76.8953704833984
SAS,2021,76.0599365234375
SAS,2020,75.2422180175781
SAS,2019,74.512809753418
SAS,2018,74.7436676025391
SAS,2017,74.018913269043
SAS,2016,73.3504180908203
TSA,2024,78.2312698364258
TSA,2023,77.5703735351562
TSA,2022,76.8953704833984
TSA,2021,76.0599365234375
TSA,2020,75.2422180175781
TSA,2019,74.512809753418
TSA,2018,74.7436676025391
TSA,2017,74.018913269043
TSA,2016,73.3504180908203
SSF,2024,68.6856231689453
