country_code,year,gni_per_capita
AFE,2024,1579.10356988926
AFE,2023,1602.16523490588
AFE,2022,1569.17333170156
AFE,2021,1473.01020723136
AFE,2020,1393.45928875849
AFE,2019,1501.99695269359
AFE,2018,1435.80774230659
AFE,2017,1370.75226374024
AFE,2016,1405.93637973121
AFE,2015,1550.54240260181
AFW,2024,1624.31638442004
AFW,2023,2011.44559515124
AFW,2022,2153.64913579255
AFW,2021,2086.46853063233
AFW,2020,1869.72271335145
AFW,2019,1784.13716922547
AFW,2018,1614.09894956392
AFW,2017,1584.34185588123
AFW,2016,1765.92936131952
AFW,2015,1989.4881982761
ARB,2024,7650.33371826764
ARB,2023,7649.38346837063
ARB,2022,7279.3204310714
ARB,2021,6472.7415672444
ARB,2020,6062.32931818815
ARB,2019,6590.57416900269
ARB,2018,6328.94973978727
ARB,2017,6048.46130686394
ARB,2016,6479.26731169955
ARB,2015,6936.64478950725
CSS,2024,17761.8612856618
CSS,2023,17064.5435515365
CSS,2022,14596.4032916497
CSS,2021,12957.4839445149
CSS,2020,11995.7818736733
CSS,2019,13547.5001635225
CSS,2018,13154.8751833425
CSS,2017,12922.9714442136
CSS,2016,13101.3041883902
CSS,2015,14134.7073429995
CEB,2024,21833.0583893736
CEB,2023,20538.138163194
CEB,2022,19542.0440967762
CEB,2021,18068.998840935
CEB,2020,16121.721072374
CEB,2019,16115.8061400979
CEB,2018,14821.253202042
CEB,2017,13154.4962670623
CEB,2016,12898.907846881
CEB,2015,13304.6178776668
EAR,2024,4303.46958452427
EAR,2023,4188.39000230248
EAR,2022,3940.96218488892
EAR,2021,3580.83830618234
EAR,2020,3253.27590097422
EAR,2019,3526.59410238723
EAR,2018,3457.86941928829
EAR,2017,3281.51358920398
EAR,2016,3226.88171137373
EAR,2015,3277.71241191037
EAS,2024,13764.4155339858
EAS,2023,13982.4826100606
EAS,2022,13729.5796461197
EAS,2021,13027.5521317931
EAS,2020,11799.1658797303
EAS,2019,11831.876376215
EAS,2018,11222.8950475087
EAS,2017,10343.0093737243
EAS,2016,9999.93394604697
EAS,2015,9917.49894720507
EAP,2024,10629.7080602908
EAP,2023,10664.2476343106
EAP,2022,10236.2417528447
EAP,2021,9496.8155410502
EAP,2020,8460.47319899431
EAP,2019,8375.14344999575
EAP,2018,7773.36217844528
EAP,2017,7083.01194056273
EAP,2016,6739.83385945522
EAP,2015,6528.66830040704
TEA,2024,10749.511363955
TEA,2023,10784.2484099491
TEA,2022,10351.2316536137
TEA,2021,9603.33863861161
TEA,2020,8555.34095839364
TEA,2019,8469.13497211207
TEA,2018,7860.73593786578
TEA,2017,7162.81713408952
TEA,2016,6816.02978470706
TEA,2015,6602.70170017326
EMU,2024,44691.4787889803
EMU,2023,44789.8033893601
EMU,2022,44622.0036307734
EMU,2021,42462.2156348894
EMU,2020,38242.7568424279
EMU,2019,40351.7712342557
EMU,2018,38911.9870716977
EMU,2017,35888.8929726973
EMU,2016,36418.0705209547
EMU,2015,37752.0835569979
ECS,2024,29916.8240608434
ECS,2023,29454.5383357334
ECS,2022,28745.4204171862
ECS,2021,26945.8353959856
ECS,2020,24201.0002287553
ECS,2019,25510.8597923162
ECS,2018,24586.4515084109
ECS,2017,22999.7063570214
ECS,2016,23486.3621395851
ECS,2015,24781.8532519725
ECA,2024,8622.87649107289
ECA,2023,7793.26047952472
ECA,2022,6931.46038491078
ECA,2021,6472.2697759003
ECA,2020,5906.65951108059
ECA,2019,6112.38166718514
ECA,2018,6134.91023279119
ECA,2017,6123.63795763095
ECA,2016,6316.0461490634
ECA,2015,6953.22967780931
TEC,2024,12407.3884339644
TEC,2023,11495.4210144666
TEC,2022,10378.3617597058
TEC,2021,9533.97028275171
TEC,2020,8665.82552839754
TEC,2019,8956.31106398099
TEC,2018,8483.74757852877
TEC,2017,7942.63189535028
TEC,2016,8188.87356135866
TEC,2015,9259.57162150137
EUU,2024,41062.2558954338
EUU,2023,40917.5129451799
EUU,2022,40626.4488719461
EUU,2021,38569.3121430615
EUU,2020,34671.9021909921
EUU,2019,36310.0785598431
EUU,2018,34873.6718769058
EUU,2017,32079.9620135413
EUU,2016,32465.905859863
EUU,2015,33663.6118834911
FCS,2024,1594.36986381422
FCS,2023,1751.00955022334
FCS,2022,1750.12721007501
FCS,2021,1676.65614330222
FCS,2020,1562.48574856418
FCS,2019,1633.25826354584
FCS,2018,1522.8842915265
FCS,2017,1483.05707280569
FCS,2016,1609.4760583317
FCS,2015,1819.16845097896
HPC,2024,1138.03193361839
HPC,2023,1115.04769331767
HPC,2022,1075.02576903525
HPC,2021,1005.42741040721
HPC,2020,956.205718805128
HPC,2019,975.049995195168
HPC,2018,942.247988104624
HPC,2017,893.938732716482
HPC,2016,905.753395667572
HPC,2015,935.793702351158
IBD,2024,8126.74327805953
IBD,2023,7989.85999468191
IBD,2022,7547.35666680361
IBD,2021,6989.79517376854
IBD,2020,6306.92145393251
IBD,2019,6530.77992790231
IBD,2018,6195.47239393759
IBD,2017,5753.72269946462
IBD,2016,5631.49914485795
IBD,2015,5750.32902648019
IBT,2024,6269.43060654793
IBT,2023,6217.47086947444
IBT,2022,5924.36790027445
IBT,2021,5513.57068791016
IBT,2020,5000.49359314366
IBT,2019,5184.22309612989
IBT,2018,4932.10633630903
IBT,2017,4598.23825884799
IBT,2016,4521.26344196082
IBT,2015,4627.20575218856
