country_code,year,life_expectancy
AFE,2023,65.1461543479959
AFE,2022,64.4870195456608
AFE,2021,62.9799991857494
AFE,2020,63.7664840026943
AFE,2019,63.8572612837043
AFE,2018,63.3306913582336
AFE,2017,62.5912750961501
AFE,2016,62.1679813169199
AFE,2015,61.713030523495
AFW,2023,58.8557215483276
AFW,2022,57.9878133945189
AFW,2021,57.3625716910274
AFW,2020,57.3644254011107
AFW,2019,57.1498467555118
AFW,2018,57.036976441386
AFW,2017,56.6264388112566
AFW,2016,56.3924518507367
AFW,2015,56.0383356484355
ARB,2023,72.4446783578531
ARB,2022,71.8760955992222
ARB,2021,70.4041144889903
ARB,2020,70.7265588103862
ARB,2019,71.8398932674972
ARB,2018,71.4312997859137
ARB,2017,71.1128560080646
ARB,2016,70.8964881164428
ARB,2015,70.6580123695192
CSS,2023,73.1716450013098
CSS,2022,72.8322921090607
CSS,2021,69.9228107471769
CSS,2020,71.9394359303317
CSS,2019,72.1292604830284
CSS,2018,72.2210854022703
CSS,2017,72.1731041595093
CSS,2016,72.0516361154512
CSS,2015,71.8641021665476
CEB,2023,77.8966245256412
CEB,2022,76.6522987292583
CEB,2021,74.7232827859077
CEB,2020,76.0162701269145
CEB,2019,77.2659141936307
CEB,2018,76.9764380835075
CEB,2017,76.929788715597
CEB,2016,76.9703062304413
CEB,2015,76.5755119772504
EAR,2023,71.7962449795855
EAR,2022,71.4304552508694
EAR,2021,68.1790994839633
EAR,2020,69.8801308490982
EAR,2019,70.8424064605001
EAR,2018,70.5486659921503
EAR,2017,70.2729949393554
EAR,2016,69.9484837084835
EAR,2015,69.6305484421664
EAS,2023,76.6594177267807
EAS,2022,76.6767167147452
EAS,2021,76.152941315904
EAS,2020,76.5433946923267
EAS,2019,76.5862412994962
EAS,2018,76.3914229383171
EAS,2017,76.0789923585537
EAS,2016,75.9870166732102
EAS,2015,75.7926010192992
EAP,2023,75.8806830895266
EAP,2022,75.9325409436903
EAP,2021,75.2781418410849
EAP,2020,75.6976393295064
EAP,2019,75.7689690321509
EAP,2018,75.57828618156
EAP,2017,75.2396714880306
EAP,2016,75.1559117663434
EAP,2015,74.9511243848739
TEA,2023,75.9085643603807
TEA,2022,75.9610347461336
TEA,2021,75.3009806060199
TEA,2020,75.7338497054699
TEA,2019,75.8042877234534
TEA,2018,75.6101241544347
TEA,2017,75.2671640185859
TEA,2016,75.1832269955477
TEA,2015,74.9777768374826
EMU,2023,82.194952481038
EMU,2022,81.6232025628471
EMU,2021,81.5839330415712
EMU,2020,81.4873571657503
EMU,2019,82.2804211551829
EMU,2018,82.0027602577719
EMU,2017,81.8840085594743
EMU,2016,81.9075874931284
EMU,2015,81.5193991217567
ECS,2023,78.3854816068932
ECS,2022,77.8344787151258
ECS,2021,76.7286864916739
ECS,2020,77.1755313183473
ECS,2019,78.3039072023535
ECS,2018,78.0318800351487
ECS,2017,77.899058722117
ECS,2016,77.681322731133
ECS,2015,77.3309732346625
ECA,2023,74.7923060983647
ECA,2022,74.5731684190474
ECA,2021,72.8823762052943
ECA,2020,73.5536868675669
ECA,2019,74.8158340567546
ECA,2018,74.5927989243036
ECA,2017,74.4033539029016
ECA,2016,74.0313769065099
ECA,2015,73.755408258866
TEC,2023,74.7265371994292
TEC,2022,74.1883654842503
TEC,2021,72.1506406826172
TEC,2020,73.1492512511888
TEC,2019,74.590946255432
TEC,2018,74.2976622013592
TEC,2017,74.1318681774556
TEC,2016,73.6902109808946
TEC,2015,73.3408132950813
EUU,2023,81.4128063717702
EUU,2022,80.7135056290876
EUU,2021,80.3071964400875
EUU,2020,80.4414754678551
EUU,2019,81.3194524901835
EUU,2018,81.0317510064821
EUU,2017,80.9303097853099
EUU,2016,80.9530808081627
EUU,2015,80.5708966220669
FCS,2023,63.3499447771075
FCS,2022,62.702271566254
FCS,2021,61.6086810439385
FCS,2020,62.0663682854031
FCS,2019,62.1379545505037
FCS,2018,61.7825083062786
FCS,2017,61.2296826870125
FCS,2016,60.9861836667017
FCS,2015,60.7449931085508
HPC,2023,64.7159054177481
HPC,2022,63.8404458555462
HPC,2021,62.5313735700637
HPC,2020,63.0726319690016
HPC,2019,63.0898004183278
HPC,2018,62.798544258222
HPC,2017,62.3151956659401
HPC,2016,62.0038083727554
HPC,2015,61.561793936137
IBD,2023,74.5206328779372
IBD,2022,74.2512624750087
IBD,2021,71.974203378406
IBD,2020,73.2951356970762
IBD,2019,74.031271888226
IBD,2018,73.794943952938
IBD,2017,73.4857607809887
IBD,2016,73.2592309044272
IBD,2015,73.0328490236397
IBT,2023,72.0004516179201
IBT,2022,71.677581962506
IBT,2021,69.6679168391603
IBT,2020,70.7488282427992
IBT,2019,71.3939237835386
IBT,2018,71.1530074814471
IBT,2017,70.8308848986919
IBT,2016,70.614038767053
IBT,2015,70.371709207031
IDB,2023,62.4621643327349
IDB,2022,62.1288641416852
IDB,2021,60.8765357381791
IDB,2020,60.8180066140619
IDB,2019,61.3259973798573
IDB,2018,61.0740542759518
IDB,2017,60.818392907263
IDB,2016,60.5761664527178
IDB,2015,60.2944946354402
IDX,2023,67.0538318903115
IDX,2022,66.3600605315493
IDX,2021,64.8764634139942
IDX,2020,65.411479068422
IDX,2019,65.5828691146811
IDX,2018,65.172890099339
IDX,2017,64.6098588988294
IDX,2016,64.3101407903027
IDX,2015,63.8821179927396
IDA,2023,65.4535223135408
IDA,2022,64.8822902939527
IDA,2021,63.4773799318061
IDA,2020,63.8022749850664
IDA,2019,64.0885399952044
IDA,2018,63.7309311828707
IDA,2017,63.2736954244909
IDA,2016,62.9919508459629
IDA,2015,62.6135498483383
LTE,2023,77.1297750439663
LTE,2022,76.9543256667468
LTE,2021,76.3060136977083
LTE,2020,76.6935638074913
LTE,2019,76.9979606258316
LTE,2018,76.7781489421434
LTE,2017,76.4174343501022
LTE,2016,76.2928997245812
LTE,2015,76.0762328807769
LCN,2023,75.6435273174016
LCN,2022,74.6472095421659
LCN,2021,71.8141762189306
LCN,2020,73.1889367681402
LCN,2019,75.2042598654921
LCN,2018,75.052717198381
LCN,2017,74.8318087892113
LCN,2016,74.6774848833781
LCN,2015,74.7432221893097
LAC,2023,75.4986013301867
LAC,2022,74.4897262626475
LAC,2021,71.4377016432982
LAC,2020,72.8759217271338
LAC,2019,75.0513524613511
LAC,2018,74.8906731016397
LAC,2017,74.7006534427421
LAC,2016,74.5306460760941
LAC,2015,74.5553955667316
TLA,2023,75.5699258379688
TLA,2022,74.5684293540859
TLA,2021,71.7449274626405
TLA,2020,73.0747493617473
TLA,2019,75.1319711493442
TLA,2018,74.9760978010797
TLA,2017,74.7614101353626
TLA,2016,74.5894794269073
TLA,2015,74.6505904118153
LDC,2023,66.5161002597788
LDC,2022,65.7631857632163
LDC,2021,64.267342334044
LDC,2020,64.8323585417323
LDC,2019,64.9724534415541
LDC,2018,64.6022757660127
LDC,2017,64.0339755156235
LDC,2016,63.7237270680357
LDC,2015,63.3049002618176
LMY,2023,71.9736125967917
LMY,2022,71.6849231239061
LMY,2021,69.6714224191227
LMY,2020,70.7483333328129
LMY,2019,71.3694842016144
LMY,2018,71.1341613587801
LMY,2017,70.8079915267906
LMY,2016,70.605934919215
LMY,2015,70.3675043362779
MEA,2023,72.0839412410497
MEA,2022,71.6918319737772
MEA,2021,69.7113193479505
MEA,2020,69.9110789555644
MEA,2019,71.2438695042576
MEA,2018,70.9403213532696
MEA,2017,70.7097575308251
MEA,2016,70.4289278068117
